,MACH,CNA,CMA,CYB,CLLB,CLNB,CYP,CYR,CNQ,CNAD,CLLP,CMQ,CMAD,CLNR,CLLR,CLNP,CNDL,CNDR,CMDL,CMDR,CLLDL,CLLDR,CHD
0,3.0,2.6694093034500295,-0.6476520415589905,-1.4573051523843508,0.12000869589976534,2.20775168974093,0.9647669324639968,1.652774948851618,0.7920383220053333,0.2363322443093333,-0.4350897244901875,-0.6028089170660369,-0.3560857951469308,-5.969198228979386,0.0124520704,1.14592494659941,0.0408641744607166,0.0408641744607166,-0.0265447595662645,-0.0265447595662645,0.0235183218010574,-0.0235183218010574,-0.0134814380594569
1,3.5,2.3316793645947116,-0.5584821392135134,-1.2464503429764968,0.10432386266817453,1.8852524112624685,0.8987417137449659,1.4925699712,0.71738820736,0.1852779521706666,-0.4174201037981093,-0.4677821031593041,-0.214664291661125,-4.3359086848000015,0.0124520704,1.1148619843064318,0.0352439552143182,0.0352439552143182,-0.0229142323187284,-0.0229142323187284,0.0203878902017825,-0.0203878902017825,-0.0214035236439811
2,4.0,2.099538182790855,-0.4981985871943048,-1.0956510442355953,0.09326437924519648,1.6546607097264026,0.8258481678111854,1.3540015104,0.652043318784,0.1424920142506666,-0.3983256185630194,-0.3865219111343543,-0.137715010186565,-3.3979171072000005,0.0124520704,1.0909409650459767,0.0309942589553682,0.0309942589553682,-0.0201631085329327,-0.0201631085329327,0.0179881795952834,-0.0179881795952834,-0.0247036337053636
3,4.5,1.9302632968847084,-0.454756840851766,-0.9819036499725328,0.08486881719395512,1.481292437758341,0.7452011136329185,1.2341732480000005,0.595006049792,0.1068517073066666,-0.378553418004824,-0.3321661509505219,-0.0909371593753193,-2.8043197952,0.0124520704,1.0806110074227877,0.0276675281652872,0.0276675281652872,-0.0180065125836504,-0.0180065125836504,0.0160939319334594,-0.0160939319334594,-0.0258951138429274
4,5.0,1.8011899312020982,-0.4216960169121288,-0.893351703129121,0.07842620859222595,1.3459972829966145,0.6574474368000001,1.1304743296,0.5452075838293334,0.0772556045653333,-0.3578536192000001,-0.2929441898499251,-0.0602336617786514,-2.4001094656000004,0.0124520704,1.0803506560000002,0.024991296030546,0.024991296030546,-0.0162699405020062,-0.0162699405020062,0.014561529098952,-0.014561529098952,-0.0260519661258691
5,5.5,1.6994592633715293,-0.39534024689849134,-0.8224160238339702,0.07328766473361419,1.2375884642586719,0.5631314304,1.0403717632,0.5016429937493333,0.0527120891733333,-0.3350389504,-0.2630396914149994,-0.0389500856827936,-2.1085463168,0.0124520704,1.0793985664000003,0.0227908270124173,0.0227908270124173,-0.0148410684810426,-0.0148410684810426,0.0132964758058315,-0.0132964758058315,-0.025683240698383
6,6.0,1.6178869398830067,-0.37433305909439757,-0.764301305126558,0.06912060559478424,1.148764955854527,0.4539851008000001,0.9616982144,0.4634151657813333,0.0323633127253333,-0.3083774848,-0.2392930588481016,-0.023600583788739,-1.8883790464000003,0.0124520704,1.0796824192000003,0.0209489822705589,0.0209489822705589,-0.0136444124014434,-0.0136444124014434,0.0122343893475953,-0.0122343893475953,-0.0250478556439155
7,6.5,1.5507735419441766,-0.3567768090674987,-0.7159692417696732,0.06566130930035323,1.0748078633600413,0.2729737472,0.8926490496000001,0.4297474443093333,0.0154898538666666,-0.2650248832,-0.2198550899273143,-0.0122051840455111,-1.7158990464,0.0124520704,1.0912711040000005,0.0193842817225666,0.0193842817225666,-0.0126273745528122,-0.0126273745528122,0.0113299846539993,-0.0113299846539993,-0.024284019377184
8,7.0,1.4944958064912,-0.3423742323543457,-0.6750989225706713,0.06275117141638666,1.0123158538763277,0.1499481552071465,0.833691783933489,0.401184805624001,0.0022481095520893,-0.232761815623456,-0.2063181253155085,-0.0017571775977705,-1.6016211271341116,0.0124520704,1.7229630732352357,0.0180382726818577,0.0180382726818577,-0.0117521723618305,-0.0117521723618305,0.0105505106504872,-0.0105505106504872,-0.0234678469560412
9,7.5,1.4470382116123073,-0.33024916079335476,-0.6402120121638357,0.06027463585148053,0.9588380561607032,0.08788698567195,0.7830175872480982,0.3761395723946666,-0.0093484974234317,-0.2132591632865035,-0.1939082886900622,0.0095238763075426,-1.5095990731563558,0.0124520704,1.839030796588308,0.0168679145601597,0.0168679145601597,-0.0109909567372819,-0.0109909567372819,0.0098717029042732,-0.0098717029042732,-0.0226419282323757
10,8.0,1.406638214120701,-0.3198071188245535,-0.6100906286952154,0.05815351289841438,0.9126129305038534,0.0689944248155114,0.7378894053569839,0.353851486208,-0.0193889589299068,-0.2028582620638788,-0.1819471184492901,0.0215240586072742,-1.425273802231019,0.0124520704,1.2462771289541152,0.0158408015782041,0.0158408015782041,-0.0103227424890912,-0.0103227424890912,0.0092752041432612,-0.0092752041432612,-0.0218300775350766
11,8.5,1.371975400037058,-0.31054602249032737,-0.5838792542630306,0.056324267728056404,0.8720604141656794,0.0750647215632764,0.696730496,0.3339692355413333,-0.0279622668373456,-0.1976562980280009,-0.1716765189883124,0.0341294502382697,-1.3416016768000003,0.0124520704,0.7570997670498889,0.0149320613981098,0.0149320613981098,-0.0097314120138105,-0.0097314120138105,0.0087468698764193,-0.0087468698764193,-0.0210453054456264
12,9.0,1.3418030422191132,-0.30236063879033764,-0.5608948570649707,0.05475811187565539,0.8350971037877493,0.0814002059646043,0.6602790656000002,0.3160622324053334,-0.0351574130157584,-0.1923409795018681,-0.1625100482902146,0.0472261321373745,-1.2698943488000003,0.0124520704,0.3971207627372785,0.0141222810995218,0.0141222810995218,-0.0092043783766916,-0.0092043783766916,0.0082756250557664,-0.0082756250557664,-0.0202942902809085
13,9.5,1.3155985763700702,-0.2952020200145565,-0.5406353904858447,0.0534049676279075,0.8009854750744028,0.0780832656688543,0.6274644992,0.2998842363733333,-0.0410633893351549,-0.1848791060084788,-0.1542472824932774,0.0607001852414342,-1.206556736,0.0124520704,0.1966053294779334,0.0133960838034442,0.0133960838034442,-0.0087316667564496,-0.0087316667564496,0.0078526737774667,-0.0078526737774667,-0.0195799598078243
14,10.0,1.2927399169123208,-0.2889872494967149,-0.5227008957273852,0.05221280681098681,0.7699552386254662,0.0633031168,0.5976757248000002,0.2852229482666666,-0.0457691876655454,-0.175027776,-0.1467601480535771,0.0744376904872945,-1.1495230208000002,0.0124520704,0.1610746368,0.0127411293386874,0.0127411293386874,-0.0083052689072405,-0.0083052689072405,0.0074709412200421,-0.0074709412200421,-0.0189030182799089
15,10.5,1.272582892605506,-0.283350243666675,-0.5067592450623454,0.051179259182635495,0.7409808065987072,0.0504962304,0.5705047040000001,0.2718906929493334,-0.0493637998769397,-0.165910976,-0.1399484330402539,0.0883247288118008,-1.0976784896,0.0124520704,0.152156928,0.0121473983414231,0.0121473983414231,-0.0079186803712213,-0.0079186803712213,0.0071246719590384,-0.0071246719590384,-0.0182628671785917
