MACH,ALPHA_DEG,BETA_DEG,DELTA_ELEVON_L,DELTA_ELEVON_R,DELTA_RUDDER,CA,CN,CY,CLL,CM,CLN,XCP,ZCP
1.35,-5.0,0.0,0.0,0.0,0,0.037902122132,-0.04272656496753,0.0,0.0,0.00521308007913,0.0,0,0
1.35,0.0,0.0,0.0,0.0,0,0.044819072791,0.0712940371726,0.0,0.0,-0.00343230342323,0.0,0,0
1.35,5.0,0.0,0.0,0.0,0,0.0557332305559999,0.2238802967085201,0.0,0.0,-0.014053444136597,0.0,0,0
1.35,10.0,0.0,0.0,0.0,0,0.0700597468678997,0.3944418674919995,0.0,0.0,-0.02146470946981,0.0,0,0
1.35,0.0,2.0,0.0,0.0,0,0.0438913354582148,0.0713550921332,0.0,0.0014130532212508,-0.00324755801231,0.0109359429974657,0,0
1.35,-5.0,2.0,0.0,0.0,0,0.0370756455568437,-0.0438521548799344,0.0,0.0034948414676886,0.00548883899235,0.0130564882408794,0,0
1.35,5.0,2.0,0.0,0.0,0,0.0550318361002177,0.225236587964267,0.0,-0.0015829471214485,-0.01426242902037,0.0092932752061653,0,0
1.35,10.0,2.0,0.0,0.0,0,0.0697615108847705,0.3971025922520761,0.0,-0.0037336376249383,-0.0224316626606485,0.0107135980573436,0,0
1.35,-10.0,0.0,0.0,0.0,0,0.0301922841809,-0.1716590167352396,0.0,0.0,0.01527847696023,0.0,0,0
1.35,-5.0,4.0,0.0,0.0,0,0.0341997678773305,-0.0467901791271348,0.0,0.0071474448067408,0.006219382478385,0.0258907090606698,0,0
1.35,0.0,4.0,0.0,0.0,0,0.0412425505636704,0.0718971083485,0.0,0.0025721073435806,-0.00299950041809,0.023827994870925,0,0
1.35,5.0,4.0,0.0,0.0,0,0.0524953661518256,0.2276375271809476,0.0,-0.003340369520058,-0.01449414902445,0.0227328814593802,0,0
1.35,10.0,4.0,0.0,0.0,0,0.0671862198842438,0.401239663946269,0.0,-0.0088645538017862,-0.0235210515,0.0236482931491936,0,0
1.35,-10.0,4.0,0.0,0.0,0,0.0254990998615548,-0.1736930498011723,0.0,0.013713185641129,0.016177358,0.0317942164072581,0,0
1.35,-10.0,2.0,0.0,0.0,0,0.0290303595834497,-0.1721645324641,0.0,0.0067585374019811,0.0154819265,0.0163104403225806,0,0
2.0,0.0,0.0,0.0,0.0,0,0.03432,0.07113,0.0,0.0,-0.00403,0.0,0,0
2.0,5.0,0.0,0.0,0.0,0,0.0425215282538065,0.1988426516996812,0.0,0.0,0.0,0.0,0,0
2.0,-6.0,-8.0,0.0,0.0,0,0.0235909443068414,-0.0493361939882256,0.0888,-0.0136,0.0055,-0.0435,0,0
2.0,-4.0,-8.0,0.0,0.0,0,0.0248030668551254,-0.0115583299927961,0.0775,-0.0061,0.0013,-0.0383,0,0
2.0,-2.0,-8.0,0.0,0.0,0,0.0272474252027726,0.0311680653172425,0.0709,-0.0041,-0.0025,-0.0356,0,0
2.0,0.0,-8.0,0.0,0.0,0,0.0304012297103662,0.0782,0.0671,-0.0016,-0.006,-0.0342,0,0
2.0,2.0,-8.0,0.0,0.0,0,0.0338468529169231,0.1288597360012626,0.0649,0.0022,-0.0092,-0.0336,0,0
2.0,4.0,-8.0,0.0,0.0,0,0.0374851446751915,0.1822588047985234,0.0632,0.006,-0.0123,-0.0332,0,0
2.0,6.0,-8.0,0.0,0.0,0,0.0412310215726394,0.237712026678307,0.0617,0.0091,-0.0149,-0.0332,0,0
2.0,8.0,-8.0,0.0,0.0,0,0.0449084391657357,0.2945162587223476,0.0601,0.0119,-0.017,-0.0338,0,0
2.0,10.0,-8.0,0.0,0.0,0,0.0487765645651926,0.3518148191764937,0.059,0.0155,-0.0183,-0.0359,0,0
2.0,12.0,-8.0,0.0,0.0,0,0.0531044422437858,0.4088759549957533,0.0589,0.0195,-0.0183,-0.0405,0,0
2.0,14.0,-8.0,0.0,0.0,0,0.0580329702362292,0.4651565846827672,0.0,0.0,-0.0168,0.0,0,0
2.0,16.0,-8.0,0.0,0.0,0,0.0641599307413864,0.5199259221195756,0.0,0.0,-0.0131,0.0,0,0
2.0,-6.0,-4.0,0.0,0.0,0,0.0224483811604041,-0.0479089449990439,0.0444,-0.0068,0.0029,-0.0217,0,0
2.0,-4.0,-4.0,0.0,0.0,0,0.0241301022500121,-0.0110100507743691,0.0388,-0.003,0.0007,-0.0191,0,0
2.0,-2.0,-4.0,0.0,0.0,0,0.0268347680636068,0.0309823537132186,0.0354,-0.002,-0.0019,-0.0178,0,0
2.0,0.0,-4.0,0.0,0.0,0,0.0300266779128207,0.0774,0.0336,-0.0008,-0.0047,-0.0171,0,0
2.0,2.0,-4.0,0.0,0.0,0,0.033380329605385,0.1274425912862195,0.0324,0.0011,-0.0077,-0.0168,0,0
2.0,4.0,-4.0,0.0,0.0,0,0.0369978009573319,0.1802198426098504,0.0316,0.003,-0.0107,-0.0166,0,0
2.0,6.0,-4.0,0.0,0.0,0,0.0405754757674389,0.2352299061668173,0.0308,0.0046,-0.0136,-0.0166,0,0
2.0,8.0,-4.0,0.0,0.0,0,0.0444537729809114,0.2915238595969175,0.0301,0.006,-0.0163,-0.0169,0,0
2.0,10.0,-4.0,0.0,0.0,0,0.0485695517901622,0.3484274094196815,0.0295,0.0077,-0.0186,-0.0179,0,0
2.0,12.0,-4.0,0.0,0.0,0,0.0533762614320217,0.4052533058062865,0.0294,0.0097,-0.0205,-0.0202,0,0
2.0,14.0,-4.0,0.0,0.0,0,0.0592881482948083,0.4615532039297957,0.0,0.0,-0.0219,0.0,0,0
2.0,16.0,-4.0,0.0,0.0,0,0.0668101351222591,0.5165246582536622,0.0,0.0,-0.0227,0.0,0,0
2.0,-6.0,-2.0,0.0,0.0,0,0.0221424056058011,-0.047474582360542,0.0222,-0.0034,0.0022,-0.0109,0,0
2.0,-4.0,-2.0,0.0,0.0,0,0.0239900382104124,-0.0107997681629958,0.0194,-0.0015,0.0006,-0.0096,0,0
2.0,-2.0,-2.0,0.0,0.0,0,0.0266821137881355,0.0309876845179843,0.0177,-0.001,-0.0017,-0.0089,0,0
2.0,0.0,-2.0,0.0,0.0,0,0.0298817857278709,0.0772,0.0168,-0.0004,-0.0044,-0.0086,0,0
2.0,2.0,-2.0,0.0,0.0,0,0.033363603864736,0.1270417633927662,0.0162,0.0006,-0.0073,-0.0084,0,0
2.0,4.0,-2.0,0.0,0.0,0,0.0368239796962617,0.1797064668941752,0.0158,0.0015,-0.0103,-0.0083,0,0
2.0,6.0,-2.0,0.0,0.0,0,0.0404687425673525,0.2345148322597504,0.0154,0.0023,-0.0133,-0.0083,0,0
2.0,8.0,-2.0,0.0,0.0,0,0.0443226486212058,0.2906975692119398,0.015,0.003,-0.0161,-0.0085,0,0
2.0,10.0,-2.0,0.0,0.0,0,0.0485101611956298,0.3476045959659565,0.0147,0.0039,-0.0187,-0.009,0,0
2.0,12.0,-2.0,0.0,0.0,0,0.0535145585110732,0.4043625952225202,0.0147,0.0049,-0.0211,-0.0101,0,0
2.0,14.0,-2.0,0.0,0.0,0,0.0596367475812726,0.4606095058643325,0.0,0.0,-0.0232,0.0,0,0
2.0,16.0,-2.0,0.0,0.0,0,0.0674494422579523,0.5156676771890434,0.0,0.0,-0.0251,0.0,0,0
2.0,-6.0,0.0,0.0,0.0,0,0.0220697638310156,-0.0473663965743985,0.0,0.0,0.002,0.0,0,0
2.0,-4.0,0.0,0.0,0.0,0,0.0239052917253201,-0.0107938421114698,0.0,0.0,0.0005,0.0,0,0
2.0,-2.0,0.0,0.0,0.0,0,0.0266976991164986,0.0309871402663251,0.0,0.0,-0.0017,0.0,0,0
2.0,2.0,0.0,0.0,0.0,0,0.0332901674431155,0.1269391379819846,0.0,0.0,-0.0072,0.0,0,0
2.0,4.0,0.0,0.0,0.0,0,0.0367611580095708,0.1796018297840959,0.0,0.0,-0.0102,0.0,0,0
2.0,6.0,0.0,0.0,0.0,0,0.0404294542346881,0.2343096012336781,0.0,0.0,-0.0132,0.0,0,0
2.0,8.0,0.0,0.0,0.0,0,0.0443023702746559,0.2904927537616856,0.0,0.0,-0.0161,0.0,0,0
2.0,10.0,0.0,0.0,0.0,0,0.0485286860309317,0.3473032344106677,0.0,0.0,-0.0188,0.0,0,0
2.0,12.0,0.0,0.0,0.0,0,0.0535604522969897,0.4040656480693971,0.0,0.0,-0.0213,0.0,0,0
2.0,14.0,0.0,0.0,0.0,0,0.0597124231803498,0.4603191898215094,0.0,0.0,-0.0236,0.0,0,0
2.0,16.0,0.0,0.0,0.0,0,0.0676809697108623,0.5153179468434972,0.0,0.0,-0.0259,0.0,0,0
2.0,-6.0,2.0,0.0,0.0,0,0.0221424056058011,-0.047474582360542,-0.0222,0.0034,0.0022,0.0109,0,0
2.0,-4.0,2.0,0.0,0.0,0,0.0239900382104124,-0.0107997681629958,-0.0194,0.0015,0.0006,0.0096,0,0
2.0,-2.0,2.0,0.0,0.0,0,0.0266821137881355,0.0309876845179843,-0.0177,0.001,-0.0017,0.0089,0,0
2.0,0.0,2.0,0.0,0.0,0,0.0298817857278709,0.0772,-0.0168,0.0004,-0.0044,0.0086,0,0
2.0,2.0,2.0,0.0,0.0,0,0.033363603864736,0.1270417633927662,-0.0162,-0.0006,-0.0073,0.0084,0,0
2.0,4.0,2.0,0.0,0.0,0,0.0368239796962617,0.1797064668941752,-0.0158,-0.0015,-0.0103,0.0083,0,0
2.0,6.0,2.0,0.0,0.0,0,0.0404687425673525,0.2345148322597504,-0.0154,-0.0023,-0.0133,0.0083,0,0
2.0,8.0,2.0,0.0,0.0,0,0.0443226486212058,0.2906975692119398,-0.015,-0.003,-0.0161,0.0085,0,0
2.0,10.0,2.0,0.0,0.0,0,0.0485101611956298,0.3476045959659565,-0.0147,-0.0039,-0.0187,0.009,0,0
2.0,12.0,2.0,0.0,0.0,0,0.0535145585110732,0.4043625952225202,-0.0147,-0.0049,-0.0211,0.0101,0,0
2.0,14.0,2.0,0.0,0.0,0,0.0596367475812726,0.4606095058643325,0.0,0.0,-0.0232,0.0,0,0
2.0,16.0,2.0,0.0,0.0,0,0.0674494422579523,0.5156676771890434,0.0,0.0,-0.0251,0.0,0,0
2.0,-6.0,4.0,0.0,0.0,0,0.0224483811604041,-0.0479089449990439,-0.0444,0.0068,0.0029,0.0217,0,0
2.0,-4.0,4.0,0.0,0.0,0,0.0241301022500121,-0.0110100507743691,-0.0388,0.003,0.0007,0.0191,0,0
2.0,-2.0,4.0,0.0,0.0,0,0.0268347680636068,0.0309823537132186,-0.0354,0.002,-0.0019,0.0178,0,0
2.0,0.0,4.0,0.0,0.0,0,0.0300266779128207,0.0774,-0.0336,0.0008,-0.0047,0.0171,0,0
2.0,2.0,4.0,0.0,0.0,0,0.033380329605385,0.1274425912862195,-0.0324,-0.0011,-0.0077,0.0168,0,0
2.0,4.0,4.0,0.0,0.0,0,0.0369978009573319,0.1802198426098504,-0.0316,-0.003,-0.0107,0.0166,0,0
2.0,6.0,4.0,0.0,0.0,0,0.0405754757674389,0.2352299061668173,-0.0308,-0.0046,-0.0136,0.0166,0,0
2.0,8.0,4.0,0.0,0.0,0,0.0444537729809114,0.2915238595969175,-0.0301,-0.006,-0.0163,0.0169,0,0
2.0,10.0,4.0,0.0,0.0,0,0.0485695517901622,0.3484274094196815,-0.0295,-0.0077,-0.0186,0.0179,0,0
2.0,12.0,4.0,0.0,0.0,0,0.0533762614320217,0.4052533058062865,-0.0294,-0.0097,-0.0205,0.0202,0,0
2.0,14.0,4.0,0.0,0.0,0,0.0592881482948083,0.4615532039297957,0.0,0.0,-0.0219,0.0,0,0
2.0,16.0,4.0,0.0,0.0,0,0.0668101351222591,0.5165246582536622,0.0,0.0,-0.0227,0.0,0,0
2.0,-6.0,8.0,0.0,0.0,0,0.0235909443068414,-0.0493361939882256,-0.0888,0.0136,0.0055,0.0435,0,0
2.0,-4.0,8.0,0.0,0.0,0,0.0248030668551254,-0.0115583299927961,-0.0775,0.0061,0.0013,0.0383,0,0
2.0,-2.0,8.0,0.0,0.0,0,0.0272474252027726,0.0311680653172425,-0.0709,0.0041,-0.0025,0.0356,0,0
2.0,0.0,8.0,0.0,0.0,0,0.0304012297103662,0.0782,-0.0671,0.0016,-0.006,0.0342,0,0
2.0,2.0,8.0,0.0,0.0,0,0.0338468529169231,0.1288597360012626,-0.0649,-0.0022,-0.0092,0.0336,0,0
2.0,4.0,8.0,0.0,0.0,0,0.0374851446751915,0.1822588047985234,-0.0632,-0.006,-0.0123,0.0332,0,0
2.0,6.0,8.0,0.0,0.0,0,0.0412310215726394,0.237712026678307,-0.0617,-0.0091,-0.0149,0.0332,0,0
2.0,8.0,8.0,0.0,0.0,0,0.0449084391657357,0.2945162587223476,-0.0601,-0.0119,-0.017,0.0338,0,0
2.0,10.0,8.0,0.0,0.0,0,0.0487765645651926,0.3518148191764937,-0.059,-0.0155,-0.0183,0.0359,0,0
2.0,12.0,8.0,0.0,0.0,0,0.0531044422437858,0.4088759549957533,-0.0589,-0.0195,-0.0183,0.0405,0,0
2.0,14.0,8.0,0.0,0.0,0,0.0580329702362292,0.4651565846827672,0.0,0.0,-0.0168,0.0,0,0
2.0,16.0,8.0,0.0,0.0,0,0.0641599307413864,0.5199259221195756,0.0,0.0,-0.0131,0.0,0,0
3.0,-6.0,-8.0,0.0,0.0,0,0.0145517894182507,-0.0415486842251803,0.0776,-0.0118,0.0022,-0.0374,0,0
3.0,-4.0,-8.0,0.0,0.0,0,0.0160577265012088,-0.0074382495792017,0.0698,-0.0062,0.0005,-0.0352,0,0
3.0,-2.0,-8.0,0.0,0.0,0,0.0180447902294554,0.0286877216878257,0.0639,-0.0034,-0.0013,-0.0326,0,0
3.0,0.0,-8.0,0.0,0.0,0,0.0203004954092021,0.0667,0.0594,-0.001,-0.0032,-0.0305,0,0
3.0,2.0,-8.0,0.0,0.0,0,0.0228341404868441,0.1065618145888687,0.0556,0.0018,-0.0051,-0.0294,0,0
3.0,4.0,-8.0,0.0,0.0,0,0.0255829113637168,0.1480452043619411,0.0525,0.0047,-0.007,-0.0295,0,0
3.0,6.0,-8.0,0.0,0.0,0,0.0284045920953575,0.1911160420365499,0.0497,0.0076,-0.0088,-0.0307,0,0
3.0,8.0,-8.0,0.0,0.0,0,0.0314920299690487,0.2355754475278345,0.0474,0.0106,-0.0106,-0.0325,0,0
3.0,10.0,-8.0,0.0,0.0,0,0.0347452450865279,0.2814086786423085,0.0459,0.0132,-0.0124,-0.0341,0,0
3.0,12.0,-8.0,0.0,0.0,0,0.0383107735006381,0.3284425146614283,0.0455,0.0141,-0.0143,-0.0344,0,0
3.0,14.0,-8.0,0.0,0.0,0,0.0421268387266098,0.3766804230738212,0.0,0.0,-0.0164,0.0,0,0
3.0,16.0,-8.0,0.0,0.0,0,0.0463866074056216,0.4259879318408649,0.0,0.0,-0.0189,0.0,0,0
3.0,-6.0,-4.0,0.0,0.0,0,0.0134156959758172,-0.0403232168852031,0.0388,-0.0059,0.002,-0.0187,0,0
3.0,-4.0,-4.0,0.0,0.0,0,0.0151195033884683,-0.0068714216789954,0.0349,-0.0031,0.0003,-0.0176,0,0
3.0,-2.0,-4.0,0.0,0.0,0,0.0171802282040614,0.0289180347678855,0.032,-0.0017,-0.0015,-0.0163,0,0
3.0,0.0,-4.0,0.0,0.0,0,0.0195522553850925,0.0666,0.0297,-0.0005,-0.0033,-0.0153,0,0
3.0,2.0,-4.0,0.0,0.0,0,0.0222424584385921,0.1062409697331596,0.0278,0.0009,-0.0051,-0.0147,0,0
3.0,4.0,-4.0,0.0,0.0,0,0.0250781778869555,0.1476089331997976,0.0262,0.0024,-0.007,-0.0148,0,0
3.0,6.0,-4.0,0.0,0.0,0,0.0280269975923323,0.1904730502873308,0.0248,0.0038,-0.0089,-0.0154,0,0
3.0,8.0,-4.0,0.0,0.0,0,0.0312519827175138,0.2349358145432246,0.0237,0.0053,-0.0108,-0.0163,0,0
3.0,10.0,-4.0,0.0,0.0,0,0.0345854640570992,0.2806697063074948,0.0229,0.0066,-0.0127,-0.0171,0,0
3.0,12.0,-4.0,0.0,0.0,0,0.0383610976592503,0.3276353389156598,0.0227,0.0071,-0.0145,-0.0172,0,0
3.0,14.0,-4.0,0.0,0.0,0,0.0423444938037196,0.3757040769501558,0.0,0.0,-0.0164,0.0,0,0
3.0,16.0,-4.0,0.0,0.0,0,0.0468782720483478,0.4249845850290596,0.0,0.0,-0.0181,0.0,0,0
3.0,-6.0,-2.0,0.0,0.0,0,0.0131704019935574,-0.0400963337928697,0.0194,-0.0029,0.002,-0.0094,0,0
3.0,-4.0,-2.0,0.0,0.0,0,0.0148627960732962,-0.0066529825752266,0.0174,-0.0015,0.0003,-0.0088,0,0
3.0,-2.0,-2.0,0.0,0.0,0,0.0170100475548023,0.0289239776071103,0.016,-0.0009,-0.0015,-0.0082,0,0
3.0,0.0,-2.0,0.0,0.0,0,0.0193881820441704,0.0666,0.0148,-0.0002,-0.0033,-0.0076,0,0
3.0,2.0,-2.0,0.0,0.0,0,0.0220936592455783,0.10613571259641,0.0139,0.0004,-0.0051,-0.0074,0,0
3.0,4.0,-2.0,0.0,0.0,0,0.0248505769955025,0.1474927736052546,0.0131,0.0012,-0.007,-0.0074,0,0
3.0,6.0,-2.0,0.0,0.0,0,0.0279256904850926,0.1903618516533411,0.0124,0.0019,-0.0089,-0.0077,0,0
3.0,8.0,-2.0,0.0,0.0,0,0.0310983320070893,0.2347122548296252,0.0119,0.0026,-0.0108,-0.0081,0,0
3.0,10.0,-2.0,0.0,0.0,0,0.0345726711106759,0.2804643652435005,0.0115,0.0033,-0.0127,-0.0085,0,0
3.0,12.0,-2.0,0.0,0.0,0,0.0382986426640309,0.3274175955776439,0.0114,0.0035,-0.0146,-0.0086,0,0
3.0,14.0,-2.0,0.0,0.0,0,0.0424334408133515,0.3755201312045562,0.0,0.0,-0.0163,0.0,0,0
3.0,16.0,-2.0,0.0,0.0,0,0.0470543553423176,0.4247229862703561,0.0,0.0,-0.0179,0.0,0,0
3.0,-6.0,0.0,0.0,0.0,0,0.0130918836108564,-0.0399875303503453,0.0,0.0,0.002,0.0,0,0
3.0,-4.0,0.0,0.0,0.0,0,0.0147723373109822,-0.0066466570823657,0.0,0.0,0.0002,0.0,0,0
3.0,-2.0,0.0,0.0,0.0,0,0.0169198493023274,0.0289271273994935,0.0,0.0,-0.0015,0.0,0,0
3.0,0.0,0.0,0.0,0.0,0,0.0193,0.0666,0.0,0.0,-0.0033,0.0,0,0
3.0,2.0,0.0,0.0,0.0,0,0.0220094272516174,0.106132771150365,0.0,0.0,-0.0051,0.0,0,0
3.0,4.0,0.0,0.0,0.0,0,0.0248788825290984,0.1473945087311712,0.0,0.0,-0.007,0.0,0,0
3.0,6.0,0.0,0.0,0.0,0,0.0278551366664392,0.1903544361481864,0.0,0.0,-0.0089,0.0,0,0
3.0,8.0,0.0,0.0,0.0,0,0.0311366380360987,0.2347176383909163,0.0,0.0,-0.0108,0.0,0,0
3.0,10.0,0.0,0.0,0.0,0,0.0345412283862717,0.2803572783816525,0.0,0.0,-0.0127,0.0,0,0
3.0,12.0,0.0,0.0,0.0,0,0.038284542004112,0.3273123643303677,0.0,0.0,-0.0146,0.0,0,0
3.0,14.0,0.0,0.0,0.0,0,0.0424386848261491,0.3754183773208588,0.0,0.0,-0.0163,0.0,0,0
3.0,16.0,0.0,0.0,0.0,0,0.047080890231911,0.4246265650839226,0.0,0.0,-0.0179,0.0,0,0
3.0,-6.0,2.0,0.0,0.0,0,0.0131704019935574,-0.0400963337928697,-0.0194,0.0029,0.002,0.0094,0,0
3.0,-4.0,2.0,0.0,0.0,0,0.0148627960732962,-0.0066529825752266,-0.0174,0.0015,0.0003,0.0088,0,0
3.0,-2.0,2.0,0.0,0.0,0,0.0170100475548023,0.0289239776071103,-0.016,0.0009,-0.0015,0.0082,0,0
3.0,0.0,2.0,0.0,0.0,0,0.0193881820441704,0.0666,-0.0148,0.0002,-0.0033,0.0076,0,0
3.0,2.0,2.0,0.0,0.0,0,0.0220936592455783,0.10613571259641,-0.0139,-0.0004,-0.0051,0.0074,0,0
3.0,4.0,2.0,0.0,0.0,0,0.0248505769955025,0.1474927736052546,-0.0131,-0.0012,-0.007,0.0074,0,0
3.0,6.0,2.0,0.0,0.0,0,0.0279256904850926,0.1903618516533411,-0.0124,-0.0019,-0.0089,0.0077,0,0
3.0,8.0,2.0,0.0,0.0,0,0.0310983320070893,0.2347122548296252,-0.0119,-0.0026,-0.0108,0.0081,0,0
3.0,10.0,2.0,0.0,0.0,0,0.0345726711106759,0.2804643652435005,-0.0115,-0.0033,-0.0127,0.0085,0,0
3.0,12.0,2.0,0.0,0.0,0,0.0382986426640309,0.3274175955776439,-0.0114,-0.0035,-0.0146,0.0086,0,0
3.0,14.0,2.0,0.0,0.0,0,0.0424334408133515,0.3755201312045562,0.0,0.0,-0.0163,0.0,0,0
3.0,16.0,2.0,0.0,0.0,0,0.0470543553423176,0.4247229862703561,0.0,0.0,-0.0179,0.0,0,0
3.0,-6.0,4.0,0.0,0.0,0,0.0134156959758172,-0.0403232168852031,-0.0388,0.0059,0.002,0.0187,0,0
3.0,-4.0,4.0,0.0,0.0,0,0.0151195033884683,-0.0068714216789954,-0.0349,0.0031,0.0003,0.0176,0,0
3.0,-2.0,4.0,0.0,0.0,0,0.0171802282040614,0.0289180347678855,-0.032,0.0017,-0.0015,0.0163,0,0
3.0,0.0,4.0,0.0,0.0,0,0.0195522553850925,0.0666,-0.0297,0.0005,-0.0033,0.0153,0,0
3.0,2.0,4.0,0.0,0.0,0,0.0222424584385921,0.1062409697331596,-0.0278,-0.0009,-0.0051,0.0147,0,0
3.0,4.0,4.0,0.0,0.0,0,0.0250781778869555,0.1476089331997976,-0.0262,-0.0024,-0.007,0.0148,0,0
3.0,6.0,4.0,0.0,0.0,0,0.0280269975923323,0.1904730502873308,-0.0248,-0.0038,-0.0089,0.0154,0,0
3.0,8.0,4.0,0.0,0.0,0,0.0312519827175138,0.2349358145432246,-0.0237,-0.0053,-0.0108,0.0163,0,0
